shipment_id,origin,destination,route_type,material,quantity_tonnes,distance_km,freight_cost_inr,shipment_date,transporter
SHP00022,Ahmedabad,Mumbai,Medium,Electronics,16.8,529.5,21950,2024-01-02,VRL Logistics
SHP00023,Ahmedabad,Mumbai,Medium,Packaged Foods,21.4,533.8,27815,2024-01-02,Western Carriers
SHP00024,Kolkata,Bhubaneswar,Medium,Steel Coils,13.0,440.1,14134,2024-01-02,TCI Freight
SHP00025,Kolkata,Bhubaneswar,Medium,Chemicals,23.8,443.6,26510,2024-01-02,VRL Logistics
SHP00026,Kolkata,Bhubaneswar,Medium,FMCG,11.7,439.9,12711,2024-01-02,VRL Logistics
SHP00027,Bangalore,Hyderabad,Medium,Automobile Parts,24.2,573.0,32524,2024-01-02,Shivam Freight Co
SHP00028,Mumbai,Delhi,Long,Chemicals,11.9,1422.1,35329,2024-01-02,Om Sai Transport
SHP00029,Mumbai,Delhi,Long,Steel Coils,23.1,1418.1,68280,2024-01-02,TCI Freight
SHP00030,Mumbai,Delhi,Long,Automobile Parts,20.3,1422.0,60693,2024-01-02,Western Carriers
SHP00031,Delhi,Kolkata,Long,Packaged Foods,16.8,1513.2,50762,2024-01-02,VRL Logistics
SHP00032,Delhi,Kolkata,Long,Packaged Foods,18.3,1506.2,55605,2024-01-02,Shivam Freight Co
SHP00033,Mumbai,Pune,Short,Packaged Foods,23.6,147.8,10665,2024-01-03,TCI Freight
SHP00034,Delhi,Jaipur,Short,Chemicals,18.1,279.9,14888,2024-01-03,TCI Freight
SHP00035,Delhi,Jaipur,Short,Steel Coils,21.8,279.8,17970,2024-01-03,Shivam Freight Co
SHP00036,Delhi,Jaipur,Short,Automobile Parts,16.5,276.8,13301,2024-01-03,Western Carriers
SHP00037,Chennai,Bangalore,Short,Textiles,11.5,353.9,10960,2024-01-03,Shivam Freight Co
SHP00038,Chennai,Bangalore,Short,Automobile Parts,12.9,348.0,12106,2024-01-03,Om Sai Transport
SHP00039,Chennai,Bangalore,Short,Automobile Parts,13.7,348.2,13048,2024-01-03,TCI Freight
SHP00040,Ahmedabad,Mumbai,Medium,FMCG,22.5,534.0,29371,2024-01-03,Om Sai Transport
SHP00041,Ahmedabad,Mumbai,Medium,Automobile Parts,17.3,527.3,21801,2024-01-03,Shivam Freight Co
SHP00042,Ahmedabad,Mumbai,Medium,FMCG,10.0,527.3,12669,2024-01-03,SafeExpress
SHP00043,Kolkata,Bhubaneswar,Medium,Electronics,24.9,443.7,27429,2024-01-03,SafeExpress
SHP00044,Kolkata,Bhubaneswar,Medium,Chemicals,14.5,437.2,15933,2024-01-03,Western Carriers
SHP00045,Kolkata,Bhubaneswar,Medium,Chemicals,21.2,440.3,22828,2024-01-03,SafeExpress
SHP00046,Bangalore,Hyderabad,Medium,Steel Coils,24.4,567.3,32806,2024-01-03,Shivam Freight Co
SHP00047,Bangalore,Hyderabad,Medium,Packaged Foods,20.1,570.8,27320,2024-01-03,TCI Freight
SHP00048,Bangalore,Hyderabad,Medium,Automobile Parts,18.9,568.0,25860,2024-01-03,Western Carriers
SHP00049,Mumbai,Delhi,Long,Textiles,13.9,1418.5,40762,2024-01-03,Om Sai Transport
SHP00050,Mumbai,Delhi,Long,Automobile Parts,12.0,1418.1,35155,2024-01-03,VRL Logistics
SHP00051,Mumbai,Delhi,Long,Chemicals,24.0,1423.4,69231,2024-01-03,TCI Freight
SHP00052,Delhi,Kolkata,Long,Textiles,17.6,1510.3,53620,2024-01-03,Shivam Freight Co
SHP00053,Mumbai,Pune,Short,Textiles,16.6,148.3,7507,2024-01-04,TCI Freight
SHP00054,Mumbai,Pune,Short,Electronics,22.1,153.9,10367,2024-01-04,TCI Freight
SHP00055,Delhi,Jaipur,Short,Packaged Foods,23.2,276.8,18659,2024-01-04,Western Carriers
SHP00056,Delhi,Jaipur,Short,Electronics,14.1,280.4,11606,2024-01-04,VRL Logistics
SHP00057,Delhi,Jaipur,Short,Automobile Parts,19.5,277.6,15729,2024-01-04,VRL Logistics
SHP00058,Chennai,Bangalore,Short,Packaged Foods,16.4,346.7,15783,2024-01-04,VRL Logistics
SHP00059,Ahmedabad,Mumbai,Medium,Electronics,12.4,533.8,16364,2024-01-04,SafeExpress
SHP00060,Ahmedabad,Mumbai,Medium,Electronics,11.7,530.5,15577,2024-01-04,Om Sai Transport
SHP00061,Ahmedabad,Mumbai,Medium,Steel Coils,22.5,530.4,29629,2024-01-04,SafeExpress
SHP00062,Kolkata,Bhubaneswar,Medium,Packaged Foods,24.0,438.9,26309,2024-01-04,VRL Logistics
SHP00063,Kolkata,Bhubaneswar,Medium,FMCG,13.7,437.7,14592,2024-01-04,TCI Freight
SHP00064,Bangalore,Hyderabad,Medium,Steel Coils,21.2,573.8,30022,2024-01-04,Om Sai Transport
SHP00065,Bangalore,Hyderabad,Medium,Packaged Foods,22.2,573.8,31397,2024-01-04,Om Sai Transport
SHP00066,Mumbai,Delhi,Long,Electronics,16.2,1422.3,47925,2024-01-04,Om Sai Transport
SHP00067,Mumbai,Delhi,Long,FMCG,21.8,1418.1,63222,2024-01-04,Shivam Freight Co
SHP00068,Delhi,Kolkata,Long,FMCG,23.8,1507.6,72463,2024-01-04,Om Sai Transport
SHP00069,Mumbai,Pune,Short,FMCG,14.9,147.5,6591,2024-01-05,VRL Logistics
SHP00070,Mumbai,Pune,Short,FMCG,17.6,148.8,7811,2024-01-05,TCI Freight
SHP00071,Mumbai,Pune,Short,Textiles,10.4,148.6,4637,2024-01-05,Om Sai Transport
SHP00072,Delhi,Jaipur,Short,FMCG,18.9,276.3,15383,2024-01-05,VRL Logistics
SHP00073,Delhi,Jaipur,Short,Chemicals,24.8,279.5,20278,2024-01-05,Om Sai Transport
SHP00074,Chennai,Bangalore,Short,Electronics,17.8,349.5,17096,2024-01-05,Western Carriers
SHP00075,Chennai,Bangalore,Short,Automobile Parts,21.1,353.5,20126,2024-01-05,Shivam Freight Co
SHP00076,Chennai,Bangalore,Short,Electronics,23.8,353.6,23001,2024-01-05,Shivam Freight Co
SHP00077,Ahmedabad,Mumbai,Medium,Electronics,20.0,530.1,26067,2024-01-05,VRL Logistics
SHP00078,Ahmedabad,Mumbai,Medium,Automobile Parts,12.9,530.4,16994,2024-01-05,Western Carriers
SHP00079,Kolkata,Bhubaneswar,Medium,Packaged Foods,14.5,440.9,16164,2024-01-05,VRL Logistics
SHP00080,Bangalore,Hyderabad,Medium,Automobile Parts,19.1,572.3,25872,2024-01-05,SafeExpress
SHP00081,Bangalore,Hyderabad,Medium,FMCG,17.7,571.4,24278,2024-01-05,Western Carriers
SHP00082,Mumbai,Delhi,Long,Packaged Foods,20.0,1418.3,57587,2024-01-05,Om Sai Transport
SHP00083,Delhi,Kolkata,Long,Automobile Parts,12.2,1512.5,36654,2024-01-05,TCI Freight
SHP00084,Mumbai,Pune,Short,Electronics,23.3,149.6,10627,2024-01-06,Western Carriers
SHP00085,Delhi,Jaipur,Short,FMCG,19.8,278.0,15923,2024-01-06,Shivam Freight Co
SHP00086,Delhi,Jaipur,Short,Electronics,13.3,282.2,11121,2024-01-06,TCI Freight
SHP00087,Chennai,Bangalore,Short,FMCG,22.7,348.0,21665,2024-01-06,SafeExpress
SHP00088,Chennai,Bangalore,Short,FMCG,24.8,351.3,23993,2024-01-06,SafeExpress
SHP00089,Chennai,Bangalore,Short,FMCG,20.8,350.9,20046,2024-01-06,TCI Freight
SHP00090,Ahmedabad,Mumbai,Medium,Steel Coils,17.1,531.9,22075,2024-01-06,Western Carriers
SHP00091,Kolkata,Bhubaneswar,Medium,Electronics,13.6,439.9,14797,2024-01-06,VRL Logistics
SHP00092,Kolkata,Bhubaneswar,Medium,Packaged Foods,15.0,437.9,16467,2024-01-06,Om Sai Transport
SHP00093,Kolkata,Bhubaneswar,Medium,Steel Coils,15.7,437.2,16830,2024-01-06,Shivam Freight Co
SHP00094,Bangalore,Hyderabad,Medium,Automobile Parts,16.2,570.3,21903,2024-01-06,SafeExpress
SHP00095,Bangalore,Hyderabad,Medium,FMCG,18.8,573.2,25926,2024-01-06,TCI Freight
SHP00096,Mumbai,Delhi,Long,FMCG,14.5,1423.5,41972,2024-01-06,SafeExpress
SHP00097,Delhi,Kolkata,Long,Steel Coils,19.0,1510.4,57001,2024-01-06,VRL Logistics
SHP00098,Delhi,Kolkata,Long,Electronics,10.4,1509.5,31291,2024-01-06,SafeExpress
SHP00099,Delhi,Kolkata,Long,Chemicals,22.6,1511.8,69299,2024-01-06,TCI Freight
SHP00100,Mumbai,Pune,Short,Automobile Parts,19.9,150.7,8716,2024-01-07,Om Sai Transport
SHP00101,Mumbai,Pune,Short,Textiles,12.7,152.9,5674,2024-01-07,Om Sai Transport
SHP00102,Delhi,Jaipur,Short,FMCG,15.7,282.1,13140,2024-01-07,SafeExpress
SHP00103,Delhi,Jaipur,Short,Chemicals,11.2,278.0,9036,2024-01-07,Shivam Freight Co
SHP00104,Chennai,Bangalore,Short,Packaged Foods,11.0,347.8,10879,2024-01-07,Shivam Freight Co
SHP00105,Chennai,Bangalore,Short,Steel Coils,13.0,353.6,12708,2024-01-07,Om Sai Transport
SHP00106,Ahmedabad,Mumbai,Medium,Textiles,24.2,526.9,30741,2024-01-07,VRL Logistics
SHP00107,Ahmedabad,Mumbai,Medium,Packaged Foods,19.1,527.3,24487,2024-01-07,Om Sai Transport
SHP00108,Ahmedabad,Mumbai,Medium,Textiles,11.6,533.7,14728,2024-01-07,TCI Freight
SHP00109,Kolkata,Bhubaneswar,Medium,Electronics,20.7,439.2,22599,2024-01-07,Western Carriers
SHP00110,Kolkata,Bhubaneswar,Medium,Electronics,20.5,437.9,22467,2024-01-07,TCI Freight
SHP00111,Bangalore,Hyderabad,Medium,Textiles,15.2,572.3,21087,2024-01-07,Shivam Freight Co
SHP00112,Bangalore,Hyderabad,Medium,FMCG,15.1,570.0,21129,2024-01-07,SafeExpress
SHP00113,Bangalore,Hyderabad,Medium,FMCG,24.4,566.8,33734,2024-01-07,SafeExpress
SHP00114,Mumbai,Delhi,Long,Chemicals,17.8,1417.4,52385,2024-01-07,TCI Freight
SHP00115,Mumbai,Delhi,Long,Chemicals,17.0,1422.2,50463,2024-01-07,VRL Logistics
SHP00116,Delhi,Kolkata,Long,Steel Coils,11.3,1512.6,34330,2024-01-07,SafeExpress
SHP00117,Mumbai,Pune,Short,Steel Coils,10.4,149.0,4711,2024-01-08,SafeExpress
SHP00118,Mumbai,Pune,Short,Chemicals,22.0,147.7,9729,2024-01-08,Western Carriers
SHP00119,Mumbai,Pune,Short,Steel Coils,18.3,153.0,8427,2024-01-08,Shivam Freight Co
SHP00120,Delhi,Jaipur,Short,Electronics,21.4,279.9,17587,2024-01-08,Western Carriers
SHP00121,Delhi,Jaipur,Short,Steel Coils,21.9,279.9,17677,2024-01-08,SafeExpress
SHP00122,Chennai,Bangalore,Short,Textiles,15.5,351.3,15113,2024-01-08,SafeExpress
SHP00123,Chennai,Bangalore,Short,Automobile Parts,18.3,354.0,17872,2024-01-08,VRL Logistics
SHP00124,Ahmedabad,Mumbai,Medium,Chemicals,12.9,527.0,16338,2024-01-08,Western Carriers
SHP00125,Kolkata,Bhubaneswar,Medium,FMCG,14.1,441.9,15422,2024-01-08,TCI Freight
SHP00126,Bangalore,Hyderabad,Medium,Textiles,14.4,572.7,19786,2024-01-08,Shivam Freight Co
SHP00127,Mumbai,Delhi,Long,Electronics,24.6,1418.2,72230,2024-01-08,Om Sai Transport
SHP00128,Delhi,Kolkata,Long,Automobile Parts,10.2,1506.8,30708,2024-01-08,SafeExpress
SHP00129,Delhi,Kolkata,Long,FMCG,24.5,1508.7,73782,2024-01-08,SafeExpress
SHP00130,Mumbai,Pune,Short,Packaged Foods,11.1,149.2,4911,2024-01-09,Om Sai Transport
SHP00131,Delhi,Jaipur,Short,Chemicals,11.3,283.6,9251,2024-01-09,SafeExpress
SHP00132,Delhi,Jaipur,Short,Chemicals,21.9,280.9,17746,2024-01-09,SafeExpress
SHP00133,Delhi,Jaipur,Short,Automobile Parts,16.6,279.6,13646,2024-01-09,VRL Logistics
SHP00134,Chennai,Bangalore,Short,Steel Coils,21.1,350.9,20691,2024-01-09,Western Carriers
SHP00135,Ahmedabad,Mumbai,Medium,Steel Coils,13.6,526.6,17371,2024-01-09,Shivam Freight Co
SHP00136,Ahmedabad,Mumbai,Medium,Packaged Foods,20.3,529.3,25997,2024-01-09,Om Sai Transport
SHP00137,Ahmedabad,Mumbai,Medium,Packaged Foods,14.2,528.3,18363,2024-01-09,Western Carriers
SHP00138,Kolkata,Bhubaneswar,Medium,Steel Coils,19.4,442.3,21325,2024-01-09,SafeExpress
SHP00139,Kolkata,Bhubaneswar,Medium,Textiles,13.4,436.9,14328,2024-01-09,Om Sai Transport
SHP00140,Bangalore,Hyderabad,Medium,Textiles,18.9,572.3,25763,2024-01-09,SafeExpress
SHP00141,Mumbai,Delhi,Long,Chemicals,16.0,1418.4,45511,2024-01-09,SafeExpress
SHP00142,Mumbai,Delhi,Long,Electronics,19.0,1419.5,55095,2024-01-09,VRL Logistics
SHP00143,Mumbai,Delhi,Long,Electronics,10.4,1420.8,29594,2024-01-09,TCI Freight
SHP00144,Delhi,Kolkata,Long,Packaged Foods,20.1,1514.0,60653,2024-01-09,Om Sai Transport
SHP00145,Mumbai,Pune,Short,Automobile Parts,14.2,149.5,6456,2024-01-10,Western Carriers
SHP00146,Mumbai,Pune,Short,Automobile Parts,24.5,152.5,11185,2024-01-10,VRL Logistics
SHP00147,Mumbai,Pune,Short,Automobile Parts,11.6,148.6,5113,2024-01-10,Western Carriers
SHP00148,Delhi,Jaipur,Short,Automobile Parts,22.2,283.6,18598,2024-01-10,Shivam Freight Co
SHP00149,Delhi,Jaipur,Short,Automobile Parts,14.8,278.5,12329,2024-01-10,TCI Freight
SHP00150,Delhi,Jaipur,Short,Automobile Parts,10.0,282.6,8428,2024-01-10,SafeExpress
SHP00151,Chennai,Bangalore,Short,FMCG,21.3,348.9,20148,2024-01-10,Shivam Freight Co
SHP00152,Chennai,Bangalore,Short,Automobile Parts,18.2,347.6,17306,2024-01-10,Western Carriers
SHP00153,Chennai,Bangalore,Short,FMCG,10.4,349.9,9867,2024-01-10,Om Sai Transport
SHP00154,Ahmedabad,Mumbai,Medium,FMCG,18.3,530.4,23687,2024-01-10,Shivam Freight Co
SHP00155,Ahmedabad,Mumbai,Medium,Automobile Parts,11.8,529.7,15596,2024-01-10,Western Carriers
SHP00156,Kolkata,Bhubaneswar,Medium,Steel Coils,22.5,438.2,24796,2024-01-10,SafeExpress
SHP00157,Kolkata,Bhubaneswar,Medium,Chemicals,15.8,440.4,17469,2024-01-10,Western Carriers
SHP00158,Kolkata,Bhubaneswar,Medium,FMCG,23.0,443.0,25091,2024-01-10,SafeExpress
SHP00159,Bangalore,Hyderabad,Medium,FMCG,10.0,568.1,13639,2024-01-10,TCI Freight
SHP00160,Bangalore,Hyderabad,Medium,Automobile Parts,19.9,570.6,27374,2024-01-10,TCI Freight
SHP00161,Bangalore,Hyderabad,Medium,Automobile Parts,15.0,569.9,20546,2024-01-10,SafeExpress
SHP00162,Mumbai,Delhi,Long,FMCG,13.6,1423.8,40241,2024-01-10,SafeExpress
SHP00163,Delhi,Kolkata,Long,Electronics,23.7,1509.8,70008,2024-01-10,Western Carriers
SHP00164,Delhi,Kolkata,Long,Chemicals,17.4,1513.8,51000,2024-01-10,TCI Freight
SHP00165,Delhi,Kolkata,Long,Packaged Foods,11.5,1508.7,34419,2024-01-10,TCI Freight
SHP00166,Mumbai,Pune,Short,Steel Coils,16.1,151.8,7487,2024-01-11,Shivam Freight Co
SHP00167,Delhi,Jaipur,Short,FMCG,20.4,278.7,16827,2024-01-11,VRL Logistics
SHP00168,Delhi,Jaipur,Short,Textiles,22.9,282.8,19013,2024-01-11,Western Carriers
SHP00169,Chennai,Bangalore,Short,Electronics,10.5,353.0,10149,2024-01-11,Western Carriers
SHP00170,Chennai,Bangalore,Short,Automobile Parts,25.0,353.4,24690,2024-01-11,Shivam Freight Co
SHP00171,Ahmedabad,Mumbai,Medium,Packaged Foods,16.7,533.0,22163,2024-01-11,Shivam Freight Co
SHP00172,Ahmedabad,Mumbai,Medium,Automobile Parts,10.8,528.6,14072,2024-01-11,Om Sai Transport
SHP00173,Ahmedabad,Mumbai,Medium,Steel Coils,16.2,528.0,21290,2024-01-11,Om Sai Transport
SHP00174,Kolkata,Bhubaneswar,Medium,Chemicals,19.3,443.0,20933,2024-01-11,Om Sai Transport
SHP00175,Kolkata,Bhubaneswar,Medium,Electronics,19.6,437.9,21153,2024-01-11,Shivam Freight Co
SHP00176,Kolkata,Bhubaneswar,Medium,Chemicals,17.0,443.2,18473,2024-01-11,Om Sai Transport
SHP00177,Bangalore,Hyderabad,Medium,Electronics,14.5,573.9,19903,2024-01-11,VRL Logistics
SHP00178,Bangalore,Hyderabad,Medium,FMCG,14.5,569.7,19780,2024-01-11,SafeExpress
SHP00179,Mumbai,Delhi,Long,Textiles,18.6,1420.6,54103,2024-01-11,Shivam Freight Co
SHP00180,Mumbai,Delhi,Long,Chemicals,19.9,1423.8,56783,2024-01-11,Western Carriers
SHP00181,Delhi,Kolkata,Long,Textiles,21.2,1513.3,65526,2024-01-11,Om Sai Transport
SHP00182,Mumbai,Pune,Short,FMCG,12.9,147.8,5701,2024-01-12,Western Carriers
SHP00183,Mumbai,Pune,Short,Packaged Foods,20.2,152.1,9156,2024-01-12,Western Carriers
SHP00184,Delhi,Jaipur,Short,Steel Coils,10.5,282.3,8760,2024-01-12,Shivam Freight Co
SHP00185,Delhi,Jaipur,Short,Steel Coils,14.9,283.3,12494,2024-01-12,Om Sai Transport
SHP00186,Chennai,Bangalore,Short,Textiles,23.7,350.2,23315,2024-01-12,SafeExpress
SHP00187,Chennai,Bangalore,Short,FMCG,14.4,353.7,14324,2024-01-12,Shivam Freight Co
SHP00188,Ahmedabad,Mumbai,Medium,Electronics,24.5,527.1,31941,2024-01-12,Western Carriers
SHP00189,Kolkata,Bhubaneswar,Medium,Chemicals,21.9,438.9,24134,2024-01-12,Shivam Freight Co
SHP00190,Kolkata,Bhubaneswar,Medium,Chemicals,20.1,439.6,22630,2024-01-12,SafeExpress
SHP00191,Kolkata,Bhubaneswar,Medium,Steel Coils,24.1,442.6,26859,2024-01-12,SafeExpress
SHP00192,Bangalore,Hyderabad,Medium,Electronics,19.2,568.6,25817,2024-01-12,SafeExpress
SHP00193,Bangalore,Hyderabad,Medium,Steel Coils,14.5,573.3,19518,2024-01-12,Shivam Freight Co
SHP00194,Bangalore,Hyderabad,Medium,Packaged Foods,14.6,573.6,19713,2024-01-12,Om Sai Transport
SHP00195,Mumbai,Delhi,Long,Electronics,15.6,1419.1,46707,2024-01-12,TCI Freight
SHP00196,Delhi,Kolkata,Long,FMCG,23.3,1511.8,70548,2024-01-12,SafeExpress
SHP00197,Delhi,Kolkata,Long,Electronics,24.1,1510.9,72110,2024-01-12,VRL Logistics
SHP00198,Delhi,Kolkata,Long,Textiles,16.7,1507.7,49797,2024-01-12,Shivam Freight Co
SHP00199,Mumbai,Pune,Short,Automobile Parts,24.7,150.4,11311,2024-01-13,VRL Logistics
SHP00200,Mumbai,Pune,Short,Automobile Parts,11.8,147.5,5378,2024-01-13,Shivam Freight Co
SHP00201,Delhi,Jaipur,Short,Textiles,24.6,281.1,20255,2024-01-13,Om Sai Transport
SHP00202,Delhi,Jaipur,Short,FMCG,21.8,283.9,18214,2024-01-13,TCI Freight
SHP00203,Delhi,Jaipur,Short,Textiles,13.2,277.7,11005,2024-01-13,Om Sai Transport
SHP00204,Chennai,Bangalore,Short,Steel Coils,22.9,346.0,21806,2024-01-13,TCI Freight
SHP00205,Chennai,Bangalore,Short,Packaged Foods,12.6,348.0,12256,2024-01-13,Om Sai Transport
SHP00206,Chennai,Bangalore,Short,Textiles,21.8,346.1,20823,2024-01-13,Shivam Freight Co
SHP00207,Ahmedabad,Mumbai,Medium,Packaged Foods,16.3,527.0,20531,2024-01-13,SafeExpress
SHP00208,Kolkata,Bhubaneswar,Medium,Chemicals,11.6,440.1,12738,2024-01-13,Shivam Freight Co
SHP00209,Kolkata,Bhubaneswar,Medium,Textiles,23.6,441.8,26136,2024-01-13,SafeExpress
SHP00210,Bangalore,Hyderabad,Medium,Electronics,17.2,566.5,23450,2024-01-13,Shivam Freight Co
SHP00211,Mumbai,Delhi,Long,Packaged Foods,11.2,1416.6,32618,2024-01-13,Om Sai Transport
SHP00212,Mumbai,Delhi,Long,Textiles,19.5,1418.2,56753,2024-01-13,SafeExpress
SHP00213,Delhi,Kolkata,Long,FMCG,17.6,1508.4,54033,2024-01-13,Western Carriers
SHP00214,Delhi,Kolkata,Long,Chemicals,19.8,1506.9,61543,2024-01-13,Western Carriers
SHP00215,Delhi,Kolkata,Long,Automobile Parts,16.5,1512.9,51506,2024-01-13,VRL Logistics
SHP00216,Mumbai,Pune,Short,Electronics,11.4,149.3,5162,2024-01-14,VRL Logistics
SHP00217,Mumbai,Pune,Short,Packaged Foods,12.3,149.0,5641,2024-01-14,Shivam Freight Co
SHP00218,Delhi,Jaipur,Short,Steel Coils,21.2,279.5,17644,2024-01-14,TCI Freight
SHP00219,Chennai,Bangalore,Short,FMCG,20.1,350.5,18982,2024-01-14,Western Carriers
SHP00220,Chennai,Bangalore,Short,Packaged Foods,16.3,353.5,15761,2024-01-14,VRL Logistics
SHP00221,Chennai,Bangalore,Short,Steel Coils,15.3,350.8,14534,2024-01-14,Om Sai Transport
SHP00222,Ahmedabad,Mumbai,Medium,Packaged Foods,15.3,532.8,20131,2024-01-14,VRL Logistics
SHP00223,Kolkata,Bhubaneswar,Medium,Chemicals,24.6,442.8,27574,2024-01-14,Western Carriers
SHP00224,Kolkata,Bhubaneswar,Medium,FMCG,10.4,441.1,11651,2024-01-14,Western Carriers
SHP00225,Bangalore,Hyderabad,Medium,Textiles,21.4,568.2,29277,2024-01-14,Shivam Freight Co
SHP00226,Mumbai,Delhi,Long,Electronics,16.0,1420.5,45504,2024-01-14,Shivam Freight Co
SHP00227,Delhi,Kolkata,Long,Textiles,16.3,1507.7,48118,2024-01-14,VRL Logistics
SHP00228,Delhi,Kolkata,Long,Packaged Foods,21.7,1511.8,64672,2024-01-14,Shivam Freight Co
SHP00229,Delhi,Kolkata,Long,Packaged Foods,21.3,1507.2,62305,2024-01-14,VRL Logistics
SHP00230,Mumbai,Pune,Short,FMCG,16.6,149.9,7397,2024-01-15,TCI Freight
SHP00231,Mumbai,Pune,Short,Electronics,16.4,146.9,7164,2024-01-15,TCI Freight
SHP00232,Delhi,Jaipur,Short,Packaged Foods,13.3,278.5,11080,2024-01-15,Shivam Freight Co
SHP00233,Delhi,Jaipur,Short,FMCG,24.2,277.6,19966,2024-01-15,VRL Logistics
SHP00234,Delhi,Jaipur,Short,Automobile Parts,11.8,278.3,9682,2024-01-15,Om Sai Transport
SHP00235,Chennai,Bangalore,Short,FMCG,17.5,351.6,16836,2024-01-15,VRL Logistics
SHP00236,Chennai,Bangalore,Short,Packaged Foods,22.9,346.6,21208,2024-01-15,SafeExpress
SHP00237,Chennai,Bangalore,Short,Chemicals,22.9,353.4,21975,2024-01-15,SafeExpress
SHP00238,Ahmedabad,Mumbai,Medium,Steel Coils,16.1,528.3,21307,2024-01-15,TCI Freight
SHP00239,Ahmedabad,Mumbai,Medium,Automobile Parts,20.3,529.7,26455,2024-01-15,Shivam Freight Co
SHP00240,Kolkata,Bhubaneswar,Medium,Electronics,11.2,439.2,12307,2024-01-15,VRL Logistics
SHP00241,Kolkata,Bhubaneswar,Medium,Electronics,21.7,437.8,23208,2024-01-15,Shivam Freight Co
SHP00242,Kolkata,Bhubaneswar,Medium,Textiles,12.9,440.2,14167,2024-01-15,Western Carriers
SHP00243,Bangalore,Hyderabad,Medium,Steel Coils,13.5,572.5,18689,2024-01-15,Om Sai Transport
SHP00244,Bangalore,Hyderabad,Medium,Steel Coils,21.4,570.8,29993,2024-01-15,Western Carriers
SHP00245,Bangalore,Hyderabad,Medium,Automobile Parts,21.3,570.0,29904,2024-01-15,Western Carriers
SHP00246,Mumbai,Delhi,Long,Electronics,24.8,1421.1,73085,2024-01-15,VRL Logistics
SHP00247,Mumbai,Delhi,Long,Textiles,11.0,1417.2,32444,2024-01-15,VRL Logistics
SHP00248,Mumbai,Delhi,Long,Automobile Parts,15.3,1420.7,44737,2024-01-15,SafeExpress
SHP00249,Delhi,Kolkata,Long,FMCG,11.2,1512.7,33621,2024-01-15,Shivam Freight Co
SHP00250,Delhi,Kolkata,Long,Chemicals,17.6,1510.9,52142,2024-01-15,Western Carriers
SHP00251,Mumbai,Pune,Short,Chemicals,18.6,153.3,8608,2024-01-16,SafeExpress
SHP00252,Mumbai,Pune,Short,FMCG,24.4,150.0,11137,2024-01-16,VRL Logistics
SHP00253,Delhi,Jaipur,Short,Automobile Parts,12.6,280.0,10528,2024-01-16,SafeExpress
SHP00254,Chennai,Bangalore,Short,Automobile Parts,15.6,347.3,14816,2024-01-16,VRL Logistics
SHP00255,Chennai,Bangalore,Short,Textiles,10.8,351.4,10488,2024-01-16,Shivam Freight Co
SHP00256,Chennai,Bangalore,Short,Textiles,18.4,348.6,17596,2024-01-16,Western Carriers
SHP00257,Ahmedabad,Mumbai,Medium,Steel Coils,15.0,533.0,19913,2024-01-16,VRL Logistics
