route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Chennai-Bangalore,2024-02-19,2.78,+1.2% vs this route's past average,-6.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-02-19,2.97,+0.7% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-02-19,1.99,-0.4% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-02-19,2.49,-0.3% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-02-19,2.05,-0.2% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-02-19,2.98,-0.5% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-02-26,2.44,-0.5% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-02-26,2.39,-0.7% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-02-26,2.76,+0.4% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-02-26,2.95,-0.1% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-02-26,2.00,+0.2% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-02-26,2.50,+0.1% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-02-26,2.04,-0.7% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-02-26,3.01,+0.6% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-03-04,2.45,-0.1% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-03-04,2.40,-0.2% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-03-04,2.76,+0.3% vs this route's past average,-6.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-03-04,2.94,-0.5% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-03-04,1.99,-0.3% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-03-04,2.51,+0.5% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-03-04,2.03,-1.0% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-03-04,2.98,-0.5% vs this route's past average,+4.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-03-11,2.42,-1.3% vs this route's past average,-1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-03-11,2.41,+0.2% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-03-11,2.73,-0.8% vs this route's past average,-8.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-03-11,2.97,+0.6% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-03-11,2.00,+0.3% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-03-11,2.50,+0.0% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-03-11,2.04,-0.5% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-03-11,3.01,+0.7% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-03-18,2.45,+0.2% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-03-18,2.40,-0.2% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-03-18,2.75,-0.1% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-03-18,2.94,-0.5% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-03-18,2.00,+0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-03-18,2.49,-0.4% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-03-18,2.07,+1.1% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-03-18,3.00,+0.3% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-03-25,2.46,+0.5% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-03-25,2.42,+0.7% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-03-25,2.74,-0.6% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-03-25,2.94,-0.5% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-03-25,2.00,+0.3% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-03-25,2.51,+0.4% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-03-25,2.05,+0.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-03-25,2.99,-0.1% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-04-01,2.45,+0.0% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-04-01,2.42,+0.6% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-04-01,2.76,+0.2% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-04-01,2.96,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-04-01,2.00,+0.2% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-04-01,2.49,-0.4% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-04-01,2.06,+0.6% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-04-01,2.97,-0.8% vs this route's past average,+3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-04-08,2.47,+1.0% vs this route's past average,+0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-04-08,2.40,-0.4% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-04-08,2.74,-0.6% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-04-08,2.93,-0.8% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-04-08,2.00,+0.1% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-04-08,2.50,+0.0% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-04-08,2.05,+0.0% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-04-08,3.01,+0.7% vs this route's past average,+6.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-04-15,2.42,-1.1% vs this route's past average,-1.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-04-15,2.40,-0.4% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-04-15,2.75,-0.1% vs this route's past average,-6.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-04-15,2.92,-1.0% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-04-15,1.97,-1.4% vs this route's past average,-3.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-04-15,2.50,+0.1% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-04-15,2.05,+0.1% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-04-15,2.97,-0.8% vs this route's past average,+4.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-04-22,2.46,+0.6% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-04-22,2.41,+0.2% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-04-22,2.76,+0.4% vs this route's past average,-7.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-04-22,2.94,-0.1% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-04-22,2.00,+0.3% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-04-22,2.51,+0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-04-22,2.03,-0.9% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-04-22,3.00,+0.3% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-04-29,2.46,+0.5% vs this route's past average,+0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-04-29,2.38,-1.1% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-04-29,2.77,+0.8% vs this route's past average,-6.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-04-29,2.93,-0.4% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-04-29,2.02,+1.3% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-04-29,2.50,-0.0% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-04-29,2.05,+0.1% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-04-29,2.99,-0.0% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-05-06,2.45,+0.1% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-05-06,2.37,-1.5% vs this route's past average,-4.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-05-06,2.74,-0.4% vs this route's past average,-7.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-05-06,2.92,-0.7% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-05-06,1.99,-0.4% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-05-06,2.51,+0.4% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-05-06,2.03,-1.0% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-05-06,2.98,-0.4% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-05-13,2.43,-0.9% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-05-13,2.40,-0.0% vs this route's past average,-2.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-05-13,2.76,+0.3% vs this route's past average,-7.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-05-13,2.95,+0.5% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-05-13,1.99,-0.4% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-05-13,2.48,-0.8% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-05-13,2.04,-0.4% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-05-13,3.02,+1.0% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-05-20,2.44,-0.4% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-05-20,2.37,-1.2% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-05-20,2.76,+0.3% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-05-20,2.96,+0.8% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-05-20,1.99,-0.3% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-05-20,2.50,+0.0% vs this route's past average,+4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-05-20,2.04,-0.2% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-05-20,2.99,-0.0% vs this route's past average,+4.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-05-27,2.45,+0.1% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-05-27,2.39,-0.2% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-05-27,2.75,-0.2% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-05-27,2.94,+0.0% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-05-27,1.98,-0.8% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-05-27,2.48,-0.8% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-05-27,2.05,+0.3% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-05-27,3.02,+1.0% vs this route's past average,+6.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-06-03,2.44,-0.3% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-06-03,2.38,-0.4% vs this route's past average,-3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-06-03,2.75,-0.1% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-06-03,2.93,-0.2% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-06-03,2.01,+0.9% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-06-03,2.48,-0.7% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-06-03,2.05,+0.4% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-06-03,3.00,+0.1% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-06-10,2.45,+0.3% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-06-10,2.39,+0.1% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-06-10,2.74,-0.5% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
